Group,Mn,Fe,Ca,Mg,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,P
Aplite,4.792871253,22.220657,0.313389195,0.255957981,547.0390697,0,0.002819055,0.002296697,0.060274468,0.508325931,0,9.552011402,6.826039878,79.14865848,19.1653551,61.52031965,11.29243517,91.87669656,13.03922575,242.2007868
Aplite,4.410236115,23.04394044,0.326825335,0.279356635,694.5296241,0.003417299,0,0.002382849,0.03122792,0.580346062,0.00999361,10.97986652,8.18119259,94.63716185,21.84773841,72.51313022,14.10786493,119.7967898,17.27630177,186.4276234
Aplite,5.174489221,21.13015174,0.349494896,0.271885458,378.0302745,0,0,0,0.116161845,1.009004574,0.013864793,13.76476321,7.622763687,64.16325014,10.24787084,21.59362545,3.315088936,22.82621006,2.648518554,270.8672439
Aplite,5.246332803,17.82557202,0.360882353,0.295418185,555.3891495,0,0.012680059,0.008260615,0,1.202945636,0,17.24744497,10.24214799,90.3979016,16.06185067,38.41040091,5.68120766,39.33416654,4.777502955,237.5006169
Aplite,5.278198662,17.18475156,0.360680571,0.307956583,585.7438984,0,0.002456427,0,0.131863903,0.938271957,0.012574004,15.16008468,9.731299998,90.53203013,17.0845403,44.11037947,6.546775158,47.64058353,5.93321743,258.3106151
Aplite,4.627320608,18.34229773,0.348933058,0.303848065,514.4084193,0,0,0,0,0.753430818,0,10.40675513,6.858776557,74.2241149,17.022114,54.6432608,10.5682404,88.84044926,12.86190764,234.2676242
Aplite,4.449993336,19.25146329,0.338142265,0.316839512,550.5798028,0,0,0.00218912,0.028891558,0.646131852,0,10.46148944,7.311289684,80.62239254,18.37911464,58.65912709,11.4356213,98.30951943,14.08459641,224.6478314
Aplite,4.42295121,19.92882472,0.328221558,0.32151188,437.7555783,0,0,0,0.03103099,0.364386173,0,8.895865477,5.908097054,65.76908749,15.6676555,52.3781299,9.957380629,85.09160279,12.89582843,204.2710815
Aplite,5.739718464,18.62817278,0.332549521,0.242878843,386.1187028,0,0,0,0,1.26711988,0.004343281,14.26215881,7.977416309,66.4140506,11.32899782,29.20987392,4.924334434,38.27628685,4.810047555,262.6737233
Aplite,5.726176563,18.25884262,0.318324287,0.239712356,279.1391403,0.002877121,5.848858992,0.002000767,0.026436707,1.078564227,0.008409237,12.56059555,6.744251774,50.91993614,7.740727917,19.11762171,3.136817512,24.01590486,2.925556089,314.9435738
Aplite,5.611776134,16.84405924,0.321910882,0.227556708,197.5608062,0.015816243,0.031592984,0.001834105,0.145464307,0.894133598,0,9.475439086,5.193177636,36.70290265,5.380427898,13.01340926,2.269421287,16.69636102,2.053189624,377.5806371
Aplite,4.610893427,17.68729388,0.34995945,0.334802022,400.6285924,0.043683141,0.099235201,0.003581529,0.118495102,0.754542455,0,10.48037151,6.232610698,60.58937305,12.16520492,35.84979699,6.177471928,47.66286413,6.363588668,253.6952556
Aplite,4.57403604,17.85734566,0.359577044,0.326050163,446.3761727,0,0,0.003833704,0.152146271,1.019955328,0,11.91018194,7.147961006,67.37935685,13.86406116,39.55934387,7.000538414,53.92017473,7.217448277,287.1270227
Aplite,4.622232583,18.47206986,0.361619317,0.33373664,414.0062047,0.002836523,0.00729066,0.001974662,0.052224454,0.846189798,0,11.22309632,6.871634341,65.25579193,12.15573438,32.1597219,5.402630213,38.70853642,4.514237012,300.476535
Aplite,5.085721176,21.31262197,0.373698972,0.286504786,692.060302,0,0,0,0.068446731,0.956717691,0.005486178,14.19476248,9.710406778,102.8791865,22.32404928,63.54222447,10.76506481,85.41495517,11.65380886,236.0864879
Aplite,5.136491991,20.91222347,0.368911716,0.283925121,612.5768707,0,0,0,0.031525032,0.757123261,0.010102589,13.75385833,9.393111679,92.78514186,19.33241052,55.96460897,9.57211508,74.41543003,10.1792102,319.4938693
Aplite,5.044874195,20.40754019,0.361210691,0.275873273,505.9009356,0,0.003126984,0.002548318,0.06610597,0.534810855,0.015881065,10.55282884,6.637196179,75.13018469,16.02774615,47.19216195,8.496012049,65.37485515,9.087531464,269.2645771
Aplite,5.169522119,20.71650351,0.393877808,0.291262135,562.6697911,0,0,0,0.031396701,0.927933063,0.00503544,14.90810511,9.290162147,87.07237716,17.40367276,47.74936817,7.92146374,63.69522923,8.615125169,266.3615747
Aplite,4.887784665,19.84746685,0.351675537,0.30585248,255.4475285,0.003219481,0,0,0.088600706,0.41182917,0,9.326921301,5.01853356,42.38476098,7.533688334,22.93034751,3.018758748,23.61392595,2.804555819,224.3902261
Aplite,5.182438845,20.86871943,0.375780728,0.205912558,614.3568919,0.003621859,0,0,0.099668766,1.429382701,0.010737347,10.84475016,7.302547607,80.55637936,20.63711785,75.15059918,15.97355671,139.6627352,21.51729028,539.8190869
Aplite,4.814559355,20.53455295,0.375540171,0.230033389,531.8407698,0,0.002888367,0.00237661,0.061630619,1.240024151,0.004984386,11.6186626,6.983463029,72.97237282,16.74857628,61.71896823,13.59233014,134.2918523,20.31683175,522.8293425
Aplite,4.674673401,20.94416278,0.367541987,0.267706328,577.659087,0,0.002907834,0,0,0.781223141,0,10.92178591,7.566343013,80.70882946,18.95135023,61.76265605,11.47375808,95.1309956,13.97397536,337.7878705
Aplite,4.85104994,20.92775519,0.342334591,0.285625115,536.6535915,0,0,0.002449814,0.031765215,0.639444898,0.005147938,11.27805095,7.808163751,82.87220419,18.00407029,54.80191446,9.548079465,77.04768276,10.74978861,221.9767371
Aplite,4.612870259,19.69254982,0.31232607,0.279261007,105.1451208,0,0,0,0,0.393644082,0,4.628623319,2.675641637,19.20634123,2.434954147,4.69830952,0.651435861,3.537820922,0.30115735,126.5650852
Aplite,10.28174764,24.56943481,0.258175397,0.336751018,471.4639154,0.001211197,0,0,0.074722138,1.597492823,0,13.7289047,7.826997232,68.52376443,13.37651776,40.90055117,7.949136397,63.54247683,8.697528724,416.9747875
Aplite,10.35679257,23.74549447,0.335348632,0.317164046,985.9488475,0.003455562,0.007903121,0.005483797,0.317691746,2.47542041,0.001437911,17.85874134,11.46651651,130.3538717,34.08373749,138.760756,38.46994727,427.8267521,73.26559311,521.6317255
Aplite,9.549401209,23.18079515,0.319314593,0.334179681,967.4071908,0,0.001216857,0.006692409,0.248205474,2.2195182,0.001536781,17.538417,11.44389581,132.073254,33.97532877,133.3398023,34.47491592,380.6421691,62.82382085,548.5633788
Aplite,10.16399299,23.31706664,0.319345149,0.332983985,458.9198811,0.002367135,0.001018614,0.004123446,0.050270258,0.979553593,0.001519286,12.08332114,7.303640091,64.33104159,13.99124461,47.62755803,10.02804325,92.8001641,14.8148905,394.0868811
Aplite,10.23155256,23.70177161,0.359014899,0.322766267,472.9950982,0,0,0.000815344,0.044728591,1.109781021,0.001502282,12.47720552,7.594169108,68.17537457,14.23807733,47.3334991,10.05123619,92.22308261,14.4568454,408.8999627
Aplite,10.4448658,23.3517916,0.259469803,0.327394856,702.4514671,0.002323044,0.02001497,0.01134046,0.286362313,3.093205535,0.001492709,20.88431281,12.2381477,109.896894,18.77690871,53.49951749,10.91450741,92.31696492,11.41327823,698.1418399
Aplite,9.87092225,24.34807987,0.277236264,0.367651845,374.3359845,0.004597126,0.000984746,0.000792609,0.043417273,0.864457775,0,9.119700341,5.787246464,55.03554863,10.78362565,33.2774932,6.856699977,60.41433084,9.015108244,423.4382115
Aplite,9.966262109,24.85608355,0.324329294,0.367414354,497.5028383,0,0.00190528,0.000767645,0.046737208,1.00233809,0.00141265,10.7704802,6.701306941,68.03192765,15.58501313,54.92009992,11.99898814,113.611324,17.81002355,353.7185676
Aplite,9.920444832,24.31989025,0.279895504,0.372133765,396.0896943,0,0.003802744,0.000766947,0.023354982,0.902255394,0.001411277,9.599334875,6.189932375,58.89667273,11.65759904,37.10402643,7.6376632,69.55996032,10.58628633,409.605951
Aplite,10.10758015,24.17576257,0.279562337,0.378646823,202.8459983,0,0.001040462,0.001680666,0.025598052,0.482166826,0,4.469823149,3.148159715,29.57098159,5.497641597,16.73776303,3.46592214,29.84339283,3.925982676,213.7848288
Aplite,10.1526954,30.66299861,0.304525554,0.373479315,572.589607,0.002581253,0,0.002680928,0.043569281,1.018970375,0.001644205,11.23591613,7.37464695,78.60429878,18.55360505,67.25396201,15.77120022,159.1571176,24.77460192,326.5291757
Aplite,10.13092771,24.82034779,0.270668678,0.37546981,206.5723813,0.002253152,0.006752044,0.00312332,0.033321306,0.671852458,0.001436551,7.882558284,4.791309541,36.74628009,5.688552044,13.39633317,2.37054224,19.74708255,2.706881482,390.8415204
Aplite,9.300052119,22.33098321,0.341467176,0.382535606,404.7594501,0.027008459,0.050998426,0.009870424,0.071096873,1.112404719,0.003307557,10.37797682,6.501922682,59.31551979,11.83927529,37.08208796,7.42707692,61.70418867,8.971905929,330.7161004
Aplite,4.498897163,11.1105257,0.289941862,0.179341925,189.3759956,0.014463689,0.014969675,0,0.02461153,0.29603023,0.004962475,3.237443086,2.037707789,24.30938662,5.976226314,22.36029207,5.358047375,52.68758938,8.288981269,136.257606
Aplite,9.415983631,22.97152782,0.255970937,0.380021302,364.8244615,0,0.008844025,0.00268375,0.049066972,0.838900714,0.006596881,10.11340878,6.364225873,56.43730802,10.09994331,29.18505178,5.547481856,45.98135724,6.213934283,399.4694575
Aplite,9.656,32.074,0.475,0.455,857.1981897,0.021980601,0.067943407,0.012796233,0.192813671,1.726314502,0.009112743,13.46358998,10.14087665,116.7693065,28.47240098,103.7458233,23.41272544,224.7480973,32.57252766,450.0479387
Aplite,9.877,32.133,0.47,0.477,942.0467327,0.001189702,0.00506545,0.003099745,0.106251662,1.652642907,0.02147966,14.06114378,10.56948462,125.6578302,32.67918585,115.2373465,25.0210581,229.9915969,33.35294077,325.2811539
Aplite,9.623,32.133,0.459,0.458,623.3846389,0,0.002019986,0,0.032282373,0.966385074,0.012073333,11.92448199,9.054165449,94.32691065,19.4937889,50.51901343,8.011439702,55.75109972,6.403089137,269.4390784
